"Escenario","Prior","ESS_a","ESS_b","AR_a_pct","AR_b_pct","Rhat_a","Rhat_b"
"Prov3_Esce_53","TTB",2131,2037.5,68.7,68.7,1.002,1
"Prov3_Esce_54","Gamma",1767.3,1696,56.7,56.7,1.004,1.005
"Prov3_Esce_54","Jeffreys",1934.9,2148.7,71.3,71.3,1.004,1.004
"Prov3_Esce_54","TTB",1831.6,1884.1,70.8,70.8,1.001,1.002
"Prov3_Esce_55","Gamma",1792,2024.7,60.8,60.8,1.004,1
"Prov3_Esce_55","Jeffreys",1817.7,1904.6,53.6,53.6,1.001,1.001
"Prov3_Esce_55","TTB",1958.5,2142,67.7,67.7,1,1
"Prov3_Esce_56","Gamma",1851.5,1969.8,63.8,63.8,1.001,1
"Prov3_Esce_56","Jeffreys",1934.6,1863.3,65.2,65.2,1.002,1
"Prov3_Esce_56","TTB",1829,1787.7,70,70,1.002,1
"Prov3_Esce_57","Gamma",1999.7,1929.9,66.4,66.4,1,1
"Prov3_Esce_57","Jeffreys",1945.3,2034.7,67.7,67.7,1,1
"Prov3_Esce_57","TTB",1702.1,1776.5,64.2,64.2,1,1.002
"Prov3_Esce_58","Gamma",1941.2,1998.2,62.8,62.8,1.004,1.002
"Prov3_Esce_58","Jeffreys",1716.4,1729.8,58.6,58.6,1,1.001
"Prov3_Esce_58","TTB",1713.6,1902.7,59.9,59.9,1.003,1.005
"Prov3_Esce_59","Gamma",1872.3,1747.8,71.2,71.2,1,1.002
"Prov3_Esce_59","Jeffreys",1732.1,1934.9,62.2,62.2,1,1
"Prov3_Esce_59","TTB",1855.3,2180.5,70.5,70.5,1,1.006
"Prov3_Esce_60","Gamma",1504.6,2397.8,62.3,62.3,1,1.003
"Prov3_Esce_60","Jeffreys",14.5,1293,67.9,67.9,1.653,1.003
"Prov3_Esce_60","TTB",15.2,1168.8,68.4,68.4,1.4,1.018
"Prov3_Esce_61","Gamma",1672.6,1995.8,68.8,68.8,1.002,1
"Prov3_Esce_61","Jeffreys",1688,1736.1,56.3,56.3,1.001,1
"Prov3_Esce_61","TTB",1655.6,2221.5,61.4,61.4,1,1
"Prov3_Esce_62","Gamma",1715.5,1618.2,57.8,57.8,1.001,1.001
"Prov3_Esce_62","Jeffreys",1490,1893.5,66,66,1,1.001
"Prov3_Esce_62","TTB",1782.2,1979.7,71.7,71.7,1.004,1.001
"Prov3_Esce_63","Gamma",1798.8,1909.3,58.3,58.3,1.001,1.001
"Prov3_Esce_63","Jeffreys",2061.3,1776.5,71.3,71.3,1.002,1.005
"Prov3_Esce_63","TTB",1776,1958.8,60.9,60.9,1,1.002
"Prov3_Esce_64","Gamma",1710.9,1677.7,53.7,53.7,1.002,1
"Prov3_Esce_64","Jeffreys",1830.1,1938.5,67.2,67.2,1.001,1
"Prov3_Esce_64","TTB",1744.2,1807.3,61.7,61.7,1.001,1.004
"Prov3_Esce_65","Gamma",1651.9,1741.1,55.5,55.5,1.001,1.003
"Prov3_Esce_65","Jeffreys",1677.3,1931.7,61.6,61.6,1.001,1
